s_code,s_name,d_name,c_name,enroll12,num_tst_takr,pct_tst_takr
136440.0,Phoenix Charter Academy,Whitmore Union Elementary,Shasta,27.0,1.0,0.037
138339.0,Tennyson High,Hayward Unified,Alameda,338.0,13.0,0.038
125310.0,Public Safety Academy,Fairfield-Suisun Unified,Solano,79.0,3.0,0.038
1932656.0,Culver Park High,Culver City Unified,Los Angeles,26.0,1.0,0.038
118174.0,OUSD Home Sch,Orange Unified,Orange,26.0,1.0,0.038
3630894.0,Granite Hills High,Apple Valley Unified,San Bernardino,371.0,14.0,0.038
101576.0,Weston Ranch High,Manteca Unified,San Joaquin,285.0,11.0,0.039
4833000.0,Fairfield High,Fairfield-Suisun Unified,Solano,304.0,12.0,0.039
129585.0,NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,153.0,6.0,0.039
109942.0,Los Angeles International Charter High,Los Angeles County Office of Education,Los Angeles,51.0,2.0,0.039
6016885.0,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,129.0,5.0,0.039
3335759.0,Palo Verde High,Palo Verde Unified,Riverside,174.0,7.0,0.04
1931336.0,Cheviot Hills Continuation,Los Angeles Unified,Los Angeles,25.0,1.0,0.04
137117.0,New Day Academy,Whitmore Union Elementary,Shasta,25.0,1.0,0.04
3433265.0,Foothill High,Twin Rivers Unified,Sacramento,251.0,10.0,0.04
3230083.0,Plumas Charter,Plumas Unified,Plumas,49.0,2.0,0.041
119214.0,CORE Placer Charter,Placer County Office of Education,Placer,49.0,2.0,0.041
5630249.0,Monte Vista,Simi Valley Unified,Ventura,73.0,3.0,0.041
4233060.0,Lompoc High,Lompoc Unified,Santa Barbara,342.0,14.0,0.041
3430758.0,San Juan Choices Charter,San Juan Unified,Sacramento,74.0,3.0,0.041
1933308.0,Rancho del Mar High (Continuation),Palos Verdes Peninsula Unified,Los Angeles,24.0,1.0,0.042
433201.0,Durham High,Durham Unified,Butte,72.0,3.0,0.042
6119309.0,Delta Charter,New Jerusalem Elementary,San Joaquin,71.0,3.0,0.042
120733.0,Stockton Collegiate International Secondary,Stockton Unified,San Joaquin,48.0,2.0,0.042
122432.0,Edgewood High,West Covina Unified,Los Angeles,192.0,8.0,0.042
