s_code,s_name,d_name,c_name,enroll12,num_tst_takr,avg_scr_read,avg_scr_eng,avg_scr_math,avg_scr_sci,num_ge21,pct_ge21,pct_tst_takr
1935808.0,Mira Costa High,Manhattan Beach Unified,Los Angeles,594.0,269.0,28.0,28.0,27.0,27.0,245.0,0.9107999999999999,0.453
1930288.0,Arcadia High,Arcadia Unified,Los Angeles,829.0,192.0,28.0,29.0,27.0,27.0,175.0,0.9115000000000001,0.232
3635042.0,Redlands Senior High,Redlands Unified,San Bernardino,569.0,46.0,28.0,27.0,27.0,27.0,42.0,0.9129999999999999,0.081
4537304.0,Shasta High,Shasta Union High,Shasta,328.0,46.0,27.0,26.0,25.0,25.0,42.0,0.9129999999999999,0.14
3030152.0,Irvine High,Irvine Unified,Orange,533.0,139.0,28.0,29.0,28.0,28.0,127.0,0.9137000000000001,0.261
130229.0,Alameda High,Alameda Unified,Alameda,463.0,93.0,28.0,27.0,26.0,26.0,85.0,0.914,0.201
3435930.0,Mira Loma High,San Juan Unified,Sacramento,454.0,71.0,29.0,30.0,28.0,28.0,65.0,0.9155,0.156
102871.0,Arnold O. Beckman High,Tustin Unified,Orange,760.0,225.0,28.0,29.0,27.0,27.0,206.0,0.9156,0.296
1932847.0,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210.0,61.0,27.0,28.0,27.0,27.0,56.0,0.9179999999999999,0.29
3730033.0,Torrey Pines High,San Dieguito Union High,San Diego,627.0,355.0,28.0,28.0,28.0,28.0,326.0,0.9183,0.566
114553.0,University High,Fresno Unified,Fresno,120.0,86.0,28.0,28.0,26.0,26.0,79.0,0.9186,0.717
734244.0,Miramonte High,Acalanes Union High,Contra Costa,319.0,149.0,29.0,29.0,28.0,28.0,137.0,0.9195,0.467
130583.0,Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29.0,29.0,28.0,28.0,258.0,0.9214,0.428
138693.0,Washington High,Fremont Unified,Alameda,457.0,65.0,28.0,28.0,27.0,27.0,60.0,0.9231,0.142
731125.0,Campolindo High,Acalanes Union High,Contra Costa,340.0,161.0,30.0,30.0,28.0,28.0,149.0,0.9255,0.474
130062.0,American High,Fremont Unified,Alameda,538.0,136.0,29.0,30.0,29.0,29.0,126.0,0.9265000000000001,0.253
134270.0,Irvington High,Fremont Unified,Alameda,497.0,111.0,30.0,31.0,29.0,29.0,103.0,0.9279000000000001,0.223
2133692.0,Tamalpais High,Tamalpais Union High,Marin,376.0,145.0,29.0,29.0,27.0,27.0,135.0,0.9309999999999999,0.386
3030657.0,Northwood High,Irvine Unified,Orange,623.0,234.0,29.0,30.0,29.0,29.0,218.0,0.9316,0.376
1531367.0,Burroughs High,Sierra Sands Unified,Kern,331.0,15.0,27.0,26.0,26.0,26.0,14.0,0.9333,0.045
4330692.0,Evergreen Valley High,East Side Union High,Santa Clara,712.0,122.0,29.0,29.0,28.0,28.0,114.0,0.9344,0.171
5732201.0,Davis Senior High,Davis Joint Unified,Yolo,569.0,144.0,28.0,28.0,27.0,27.0,135.0,0.9375,0.253
4930244.0,Maria Carrillo High,Santa Rosa High,Sonoma,352.0,81.0,29.0,28.0,27.0,27.0,76.0,0.9383,0.23
4333316.0,Homestead High,Fremont Union High,Santa Clara,605.0,197.0,30.0,30.0,29.0,29.0,185.0,0.9390999999999999,0.326
730283.0,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29.0,29.0,27.0,27.0,93.0,0.9394,0.28
3035102.0,University High,Irvine Unified,Orange,633.0,233.0,29.0,29.0,28.0,28.0,219.0,0.9399,0.368
5630132.0,Oak Park High,Oak Park Unified,Ventura,377.0,152.0,29.0,29.0,27.0,27.0,143.0,0.9408,0.403
330753.0,Amador High,Amador County Unified,Amador,154.0,17.0,25.0,25.0,24.0,24.0,16.0,0.9412,0.11
1934611.0,La Canada High,La Canada Unified,Los Angeles,346.0,138.0,29.0,29.0,28.0,28.0,130.0,0.9420000000000001,0.399
1996321.0,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29.0,29.0,25.0,25.0,34.0,0.9444,0.346
3733508.0,La Jolla High,San Diego Unified,San Diego,339.0,112.0,29.0,29.0,27.0,27.0,106.0,0.9464,0.33
3037496.0,Troy High,Fullerton Joint Union High,Orange,624.0,178.0,30.0,30.0,29.0,29.0,170.0,0.9551000000000001,0.285
4330866.0,Branham High,Campbell Union High,Santa Clara,416.0,67.0,28.0,28.0,26.0,26.0,64.0,0.9551999999999999,0.161
113118.0,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766.0,294.0,30.0,30.0,29.0,29.0,281.0,0.9558,0.384
4331799.0,Cupertino High,Fremont Union High,Santa Clara,625.0,209.0,29.0,30.0,29.0,29.0,200.0,0.9569,0.334
4334371.0,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,187.0,29.0,29.0,28.0,28.0,179.0,0.9571999999999999,0.344
4430252.0,Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90.0,48.0,29.0,29.0,27.0,27.0,46.0,0.9582999999999999,0.533
106328.0,Canyon Crest Academy,San Dieguito Union High,San Diego,635.0,409.0,30.0,31.0,29.0,29.0,392.0,0.9584,0.644
4334421.0,Lynbrook High,Fremont Union High,Santa Clara,415.0,172.0,32.0,32.0,31.0,31.0,165.0,0.9593,0.414
135244.0,Mission San Jose High,Fremont Unified,Alameda,490.0,157.0,31.0,32.0,30.0,30.0,151.0,0.9618000000000001,0.32
4337762.0,Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321.0,121.0,31.0,32.0,30.0,30.0,117.0,0.9669,0.377
4334462.0,Monta Vista High,Fremont Union High,Santa Clara,584.0,212.0,31.0,32.0,31.0,31.0,206.0,0.9717,0.363
136515.0,Piedmont High,Piedmont City Unified,Alameda,205.0,111.0,30.0,32.0,29.0,29.0,108.0,0.973,0.541
1931880.0,Whitney (Gretchen) High,ABC Unified,Los Angeles,165.0,55.0,31.0,31.0,29.0,29.0,54.0,0.9818000000000001,0.333
5630322.0,Santa Susana High,Simi Valley Unified,Ventura,252.0,26.0,28.0,27.0,26.0,26.0,26.0,1.0,0.103
3731072.0,River Valley Charter,Lakeside Union Elementary,San Diego,50.0,15.0,28.0,26.0,27.0,27.0,15.0,1.0,0.3
3030616.0,Oxford Academy,Anaheim Union High,Orange,200.0,56.0,31.0,32.0,30.0,30.0,56.0,1.0,0.28
