s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,pct_tst_takr
1431352.0,Big Pine High,Big Pine Unified,Inyo,7.0,5.0,0.7142857142857143
1931856.0,Whitman Continuation,Los Angeles Unified,Los Angeles,18.0,14.0,0.7777777777777778
1930791.0,Mt. Lukens Continuation,Los Angeles Unified,Los Angeles,9.0,7.0,0.7777777777777778
3233509.0,Greenville Junior/Senior High,Plumas Unified,Plumas,9.0,7.0,0.7777777777777778
2332724.0,Leggett Valley High,Leggett Valley Unified,Mendocino,5.0,4.0,0.8
2537702.0,Surprise Valley High,Surprise Valley Joint Unified,Modoc,5.0,4.0,0.8
132167.0,ASPIRE Community Day,Hemet Unified,Riverside,10.0,8.0,0.8
4231205.0,Cuyama Valley High,Cuyama Joint Unified,Santa Barbara,8.0,7.0,0.875
6061832.0,Kit Carson International Academy,Sacramento City Unified,Sacramento,13.0,12.0,0.9230769230769231
132555.0,Conservatory of Vocal/Instrumental Arts High,Oakland Unified,Alameda,13.0,12.0,0.9230769230769231
138057.0,Connecting Waters Charter School - Central Valley,Modesto City Elementary,Stanislaus,3.0,3.0,1.0
111682.0,Hume Lake Charter,Fresno County Office of Education,Fresno,2.0,2.0,1.0
124347.0,City Heights Preparatory Charter,San Diego Unified,San Diego,4.0,4.0,1.0
6115133.0,REACH Academy,Santa Ana Unified,Orange,2.0,2.0,1.0
1436203.0,Owens Valley High,Owens Valley Unified,Inyo,2.0,2.0,1.0
1230085.0,Mattole Triple Junction High,Mattole Unified,Humboldt,3.0,3.0,1.0
2330207.0,Whale Gulch High,Leggett Valley Unified,Mendocino,1.0,1.0,1.0
132084.0,Alliance Marine - Innovation and Technology 6-12 Complex,Los Angeles Unified,Los Angeles,0.0,1.0,inf
